Marca temporal,,"Nivel de esfuerzo [Nivel de esfuerzo (1 nada, 5 demasiado) que has dedicado para comprender unittests]",Conocimientos adquiridos por los alumnos+as [Has adquirido una buena base sobre pruebas unitarias],Conocimientos adquiridos por los alumnos+as [El uso de unittest te ha ayudado a comprender mejor lo que tenías que hacer en el caso práctico],Conocimientos adquiridos por los alumnos+as [El uso de unittest te ha ayudado a implementar una mejor solución en el caso práctico],Conocimientos adquiridos por los alumnos+as [El uso de unittest aumentado tu motivación en la asignatura],Conocimientos adquiridos por los alumnos+as [El uso de unittest te ha ayudado a comprender los contenidos de la asignatura],¿Qué ventajas ves en el uso de unittest?,"¿Cómo desventajas ves en el uso de unittest?, ¿qué mejorarías?"
14/05/2021 16:31:40,,2,Muy bueno,Muy bueno,Muy bueno,Satisfactorio,Satisfactorio,Saber si algo está bien o no y que falla,
14/05/2021 16:31:44,,4,Deficiente,Medio,Satisfactorio,Deficiente,Medio,,
14/05/2021 16:32:07,,2,Muy bueno,Muy bueno,Excelente,Muy bueno,Muy bueno,,
14/05/2021 16:32:42,,3,Medio,Deficiente,Deficiente,Deficiente,Deficiente,"Ninguna, por decir una seria que sabes tu resultado antes de entregarla ","Me parece una mala idea, ya que premia el resultado, no la idea o la forma de obtenerlo "
14/05/2021 16:32:44,,5,Satisfactorio,Muy bueno,Muy bueno,Excelente,Excelente,Encontrar los fallos sin ayuda directa del profesor ,Mejoraría los comentarios de los mismos
14/05/2021 16:32:58,,4,Satisfactorio,Satisfactorio,Satisfactorio,Satisfactorio,Satisfactorio,,
14/05/2021 16:33:12,,2,Muy bueno,Excelente,Excelente,Medio,Satisfactorio,Te ayuda a comprobar muchos casos de los algoritmos que creas que quizá no hubieras tenido en cuenta y te ayuda a pensar de forma distinta. ,Ninguna. 
14/05/2021 16:33:20,,1,Deficiente,Excelente,Excelente,Medio,Medio,Comprobar que el código funcionaba realmente,Ninguna
14/05/2021 16:33:44,,2,Satisfactorio,Muy bueno,Muy bueno,Medio,Muy bueno,Cuando el enunciado no está claro del todo o no encuentras el problema en tu programa a veces se aclara mirando de qué manera se prueba esa parte del programa en el unittest,Si es un unittest flojo se pueden escapar casos que no sabes si tu programa cumple o no
14/05/2021 16:33:44,,2,Medio,Satisfactorio,Satisfactorio,Satisfactorio,Medio,,
14/05/2021 16:34:05,,2,Muy bueno,Excelente,Excelente,Muy bueno,Muy bueno,Es una forma rápida de comprobar que el código se comporta como debería en todos los casos,Pensar en todos los casos posibles para un proyecto es complicado y dedicar demasiado tiempo al desarrollo de unitest reduce el tiempo disponible para escribir y mejorar el código
14/05/2021 16:34:12,,2,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente,,
14/05/2021 16:34:20,,1,Deficiente,Medio,Muy bueno,Muy bueno,Deficiente,,
14/05/2021 16:34:51,,2,Satisfactorio,Medio,Deficiente,Deficiente,Satisfactorio,Es una buena herramienta para guiar a los alumnos hacia unas prácticas dignas de mejor calificación,
14/05/2021 16:36:01,,3,Deficiente,Excelente,Excelente,Medio,Deficiente,Comprobar que tu código está bien,
14/05/2021 16:36:16,,4,Deficiente,Medio,Muy bueno,Medio,Muy bueno,Que te ayude a comprobar lo que haces,
14/05/2021 16:36:47,,4,Deficiente,Satisfactorio,Satisfactorio,Medio,Deficiente,,
14/05/2021 16:37:21,,5,Deficiente,Deficiente,Deficiente,Deficiente,Deficiente,Cero,Usarlo
14/05/2021 16:39:17,,1,Satisfactorio,Muy bueno,Excelente,Muy bueno,Muy bueno,Facilidad a la hora de probar el código.,"Estoy muy conforme con cómo han funcionado los tests. Y se agradece que nos los deis hechos, ya que requiere tiempo diseñarlos."
14/05/2021 16:41:25,,4,Muy bueno,Satisfactorio,Satisfactorio,Medio,Satisfactorio,,
14/05/2021 16:41:35,,3,Muy bueno,Excelente,Excelente,Muy bueno,Excelente,,
14/05/2021 16:43:47,,2,Satisfactorio,Deficiente,Excelente,Medio,Medio,Ayuda a hacerte ver si tu programa falla en algún caso que no has tenido en cuenta anteriormente. ,"Te obliga a que la salida de tu programa sea exactamente igual que la que nos proporcionais en el unittest.Es decir, si cambiamos el orden de los argumentos de salida, el unittest saldrá mal inclusion aunque nuestro programa este bien. Lo mejoraría siendo más claros en los enunciados de las prácticas o bien, incluir en el código inicial ya el orden de los argumentos o el tipo de dato que tendría que devolver dicha función (string, object) "
14/05/2021 16:44:00,,3,Satisfactorio,Medio,Muy bueno,Muy bueno,Muy bueno,Nos permite visualizar mejor el funcionamiento de nuestro código,
14/05/2021 16:45:31,,2,Medio,Satisfactorio,Muy bueno,Satisfactorio,Satisfactorio,Se puede ver más fácilmente los posibles errores en casos específicos,Se podría explicar un poco más que hace cada prueba porque a veces no se sabe muy bien qué está fallando
14/05/2021 16:46:19,,3,Satisfactorio,Satisfactorio,Satisfactorio,Satisfactorio,Satisfactorio,Ayuda a ver los posibles fallos del código y motiva a corregirlos ya que te indica el fallo.,
14/05/2021 16:48:20,,3,Medio,Satisfactorio,Satisfactorio,Satisfactorio,Satisfactorio,Muy útil para comprobar el código.,"Enseñar mejor a realizar uno desde 0, pero que no sea obligatorio tener que hacer uno para una prueba."
14/05/2021 16:49:09,,2,Medio,Medio,Medio,Medio,Medio,,
14/05/2021 16:49:12,,3,Medio,Satisfactorio,Satisfactorio,Satisfactorio,Satisfactorio,Ayuda mucho a la hora de comprender y probar el código,"Que se hayan cambiado tanto a los largo de la última fase, pero también entiendo que eso en sí no tiene que ver con el uso de los unittests si no con el caso de la última fase."
14/05/2021 16:51:38,,2,Medio,Muy bueno,Muy bueno,Muy bueno,Satisfactorio,Es una manera rápida de saber si estamos avanzando o que clase de errores tenemos sin tener que recurrir constantemente al profesor,Quizás debería de darse una clase extra explicando el funcionamiento específico de estos tests y los errores que reportan
14/05/2021 16:54:08,,3,Satisfactorio,Satisfactorio,Medio,Medio,Medio,"Cuando un caso en el pdf no estaba especificado con detalles, los unit tests suelen contener el resultado esperado.","Algunos imprimen demasiada información en la consola al dar al run, y otros prueban varias cosas en la misma función. Estaría mejor tener casos separados para saber qué cosa específica falla en nuestra implementación."
14/05/2021 16:57:29,,1,Medio,Satisfactorio,Satisfactorio,Deficiente,Medio,,
14/05/2021 16:58:23,,3,Excelente,Excelente,Excelente,Excelente,Excelente,,
14/05/2021 16:58:25,,3,Satisfactorio,Satisfactorio,Muy bueno,Muy bueno,Satisfactorio,,
14/05/2021 16:58:34,,1,Medio,Satisfactorio,Satisfactorio,Deficiente,Muy bueno,,
14/05/2021 17:02:44,,4,Excelente,Excelente,Excelente,Muy bueno,Excelente,"Es más fácil solucionar errores en los programas, y además confirmas que lo que vas haciendo, va bien.",Lo veo una herramienta muy útil para la programación. No hay desventajas.
14/05/2021 17:04:26,,2,Muy bueno,Excelente,Muy bueno,Muy bueno,Muy bueno,"No tienes que ir a ciegas en tu trabajo, tienes un objetivo, que es completar el código pero no sabes cómo empezar ni como marcar tu progreso, con el unittest puedes ir programando uno a uno los casos con una verificación de que lo que estas haciendo está bien.","Tardé bastante en entenderlo, no sé si se llegó a explicar en clase su funcionamiento, pero yo no sabía que era y estuve un poco investigando y leyéndolo. En el caso de que si se explicara en clase, mea culpa."
14/05/2021 17:05:28,,3,Excelente,Satisfactorio,Satisfactorio,Satisfactorio,Muy bueno,Facilidad para probar el código según vas haciendo modificaciones y así comparar resultados.,"A veces resultan difíciles de entender, especialmente cuando se produce un error, no sabíamos muy bien qué quería decir el mensaje de error. "
14/05/2021 17:06:21,,5,Muy bueno,Excelente,Excelente,Excelente,Excelente,Viene muy bien para poder saber si estamos haciendo las funciones de la forma correcta.,
14/05/2021 17:06:41,,2,Medio,Deficiente,Deficiente,Satisfactorio,Medio,,
14/05/2021 17:06:55,,3,Excelente,Excelente,Excelente,Excelente,Excelente,Poder entender mejor y ver fallos sin recurrir a profesores,
14/05/2021 17:07:07,,4,Muy bueno,Excelente,Excelente,Muy bueno,Muy bueno,"Poder ir comprobando que tu código funciona correctamente, a medida que avanzas en la practica. Además, permite ver todos los casos a tener en cuenta a la hora de verificar si un código es eficaz o no. ","Un problema que puede surgir es que si quieres probar solo una función, tienes que modificar las demás o el unittest para que no te salga error en lo que todavía no has realizado. "
14/05/2021 17:10:51,,3,Medio,Muy bueno,Excelente,Medio,Satisfactorio,Que me ayudan a perfilar el código ,Ninguna desventaja. Mejoraría que el expected y el actual estaban truncados y que se nos enseñara un poco más como hacerlos a nosotros mismos en vez de dárnoslos ya hechos
14/05/2021 17:13:45,,2,Medio,Satisfactorio,Satisfactorio,Medio,Satisfactorio,,
14/05/2021 17:21:06,,2,Satisfactorio,Excelente,Excelente,Medio,Muy bueno,,
14/05/2021 17:27:06,,3,Muy bueno,Satisfactorio,Muy bueno,Medio,Medio,Comprobar si el código que debemos implemententar se adecúa a los requerimientos del mismo.,
14/05/2021 17:36:31,,3,Medio,Satisfactorio,Muy bueno,Satisfactorio,Satisfactorio,Saber cuando tu codigo esta bien,"Realmente nada, solo que a veces da fallos que no sabemos como arreglar, cosa que nos paso en la presentacion del lab case 3"
